crab,螃蟹
coral,珊瑚虫
coral,珊瑚
clam,蛤
oyster,牡蛎
plankton,浮游生物
sponge,海绵体
sponge,海绵
lobster,龙虾
shrimp,小虾
prawn,虾
dolphin,海豚
porpoise,海豚
whale,鲸鱼
starfish,海星
jellyfish,海蜇
beaver,海狸
turtle,龟
greasy,油腻的
grease,油脂
fat,脂肪
nervous,神经的
carnal,肉体的
fluffy,毛茸茸的
wing,翅膀
scale,鳞
hump,驼峰
head,头
fuzzy,有绒毛的
beak,喙
bill,喙
toe,脚趾
spineless,无脊椎的
spine,脊柱
hide,兽皮
spleen,脾脏
brain,头脑
brain,脑
tentacle,触手
tentacle,触须
antenna,触须
antenna,天线
genus,类
genus,种
order,目
suborder,亚目
class,纲
family,科
bat,球棒
bat,蝙蝠
larva,幼虫
chameleon,变色龙
dinosaur,恐龙
caterpillar,毛虫
canary,淡黄色
canary,金丝雀
moth,蛀虫
moth,蛾
lizard,蜥蜴
gorilla,大猩猩
baboon,狒狒
chimpanzee,黑猩猩
rhinoceros,犀牛
habitat,栖息地
pest,毒物
pest,害虫
niche,小生态环境
nest,巢
polyandrous,一妻多夫
monogamous,一夫一妻制
extinction,灭绝
camouflage,伪装
hibernate,冬眠
chirp,喳
squeak,吱
reproduce,再生
reproduce,繁殖
regeneration,重建
regeneration,再生
fertilize,使受精
domesticate,驯养
breed,抚养
breed,教养
breed,繁殖
hatch,孵化
pregnant,怀孕的
spawn,产卵
offspring,子孙
offspring,后裔
dormant,休眠的
trot,（马）小跑
peck,啄
gasp,喘息
gasp,喘气
graze,放牧
migrate,（鸟类的）迁徙
amphibian,水陆两用
aquatic,水栖的
aquatic,水生的
aquatic,水的
beast,畜生
beast,兽
worm,蠕虫
insect,昆虫
hordes,昆虫群
monster,巨兽
monster,怪物
fowl,家禽
fowl,鸡
bird,鸟
finch,雀科
vertebrate,脊椎动物
coelenterate,腔肠动物
mollusk,软体动物
primates,灵长类动物
primate,灵长类动物
homotherm,恒温动物
reptile,爬行动物
microbe,细菌
microbe,微生物
scavenger,食腐动物
scavenger,清道夫
rodent,啮齿动物
poikilotherm,冷血动物
prey,牺牲者
prey,猎物
predatory,食肉的
predatory,掠夺的
predator,食肉动物
predator,掠食者
omnivorous,杂食性
herbivorous,草食性
appetite,食欲
carnivorous,肉食的
carnivore,肉食动物
mammal,哺乳动物
herd,兽群
flock,羊群
swarm,（蜜蜂，蚂蚁）群
gregarious,群居
