telescope,望远镜
spaceship,宇宙飞船
land,登陆
land,降落
revolve,围绕
radiation,辐射线
radiation,发散
radiation,辐射
interferometer,干涉仪
infinite,无限
emission,（光，热）喷射
emission,（光，热）发射
emission,（光，热）散发
Saturn,土星
Neptune,海王星
Pluto,阴间之神
Pluto,冥王星
Venus,金星
Uranus,天王星
Earth,地球
mercury,水银
mercury,汞
Mars,战神
Mars,火星
Lunar,月球
Jupiter,木星
astrophysics,天体物理
astrology,占星学
astrology,占星术
astronomical,天文
astronomical,天文数字的
astronomy,天文学
pseudoscience,伪科学
photosphere,光球
solar,太阳的
chromosphere,色球
corona,日冕
interstellar,星际
interplanetary,行星间
interplanetary,星际
intergalactic,星系间
space,空间
quasar,恒星状球体
quasar,类星体
nebula,云翳
nebula,星云
cosmology,宇宙论
cosmology,宇宙学
cosmos,宇宙
stellar,恒星
star,恒星
dwarf,白矮星
dwarf,矮人
meteor,气象
meteor,流星
cluster,星团
chondrite,球粒陨石
planet,地球
asteroid,小行星
constellation,星座
galaxy,银河
galaxy,星系
comet,彗星
orbit,轨道
universal,宇宙的
universe,宇宙
celestial,神圣的
celestial,天体的
celestial,天上的
